iter	RMSE
1245	10952.86196
1246	10949.04142
1247	10948.41606
1248	10946.35785
1249	10945.78481
1250	10942.91889
1251	10942.39079
1252	10939.06706
1253	10933.76162
1254	10928.67397
1255	10920.96315
1256	10918.92801
1257	10915.04762
1258	10909.23982
1259	10901.73315
1260	10898.574
1261	10894.31527
1262	10889.65817
1263	10883.46777
1264	10879.7827
1265	10879.2601
1266	10878.75231
1267	10874.09112
1268	10869.84155
1269	10865.85374
1270	10865.20724
1271	10863.22454
1272	10862.7351
1273	10859.0664
1274	10855.87938
1275	10852.11249
1276	10847.93032
1277	10842.19642
1278	10835.0532
1279	10827.66625
1280	10824.78267
1281	10818.17532
1282	10813.58705
1283	10808.82043
1284	10808.40243
1285	10803.74454
1286	10799.37038
1287	10792.96427
1288	10790.04121
1289	10787.10884
1290	10783.77356
1291	10781.1361
1292	10778.46382
1293	10774.67996
1294	10773.21796
1295	10769.98462
1296	10765.78363
1297	10761.44714
1298	10757.36723
1299	10754.2112
1300	10750.53972
1301	10741.94603
1302	10739.33499
1303	10734.07829
1304	10731.35627
1305	10730.74369
1306	10726.682
1307	10724.23224
1308	10718.06862
1309	10715.26051
1310	10713.50531
1311	10706.56103
1312	10700.1467
1313	10697.0805
1314	10694.6695
1315	10688.69895
1316	10684.33747
1317	10677.73006
1318	10676.34173
1319	10669.04325
1320	10664.46032
1321	10659.01633
1322	10655.64242
1323	10649.40158
1324	10647.44169
1325	10641.24832
1326	10634.85949
1327	10631.19575
1328	10628.97226
1329	10621.90661
1330	10615.04976
1331	10609.66719
1332	10609.00327
1333	10605.35558
1334	10602.89446
1335	10597.78043
1336	10594.60905
1337	10591.08692
1338	10585.8221
1339	10581.75661
1340	10578.32196
1341	10573.28418
1342	10567.63547
1343	10562.87253
1344	10558.69495
1345	10553.93959
1346	10553.53521
1347	10553.09463
1348	10549.43463
1349	10548.91068
1350	10548.44909
1351	10545.97464
1352	10543.36994
1353	10536.75385
1354	10531.83483
1355	10526.21539
1356	10523.29387
1357	10519.44665
1358	10511.12832
1359	10507.605
1360	10502.02347
1361	10495.06009
1362	10494.63759
1363	10489.33481
1364	10487.14854
1365	10485.73293
1366	10483.86204
1367	10477.92323
1368	10474.31977
1369	10470.45724
1370	10464.87762
1371	10461.02561
1372	10458.80307
1373	10454.5647
1374	10446.85553
1375	10445.33592
1376	10444.60446
1377	10439.50003
1378	10435.87203
1379	10433.42542
1380	10430.17094
1381	10426.86481
1382	10424.23858
1383	10422.78024
1384	10418.21229
1385	10411.37355
1386	10405.91005
1387	10403.77777
1388	10402.08999
1389	10395.01253
1390	10392.10439
1391	10388.53273
1392	10383.00196
1393	10381.40878
1394	10374.27532
1395	10371.71598
1396	10365.00721
1397	10363.22085
1398	10359.32065
1399	10357.68699
1400	10356.06843
1401	10345.36099
1402	10341.02455
1403	10337.62447
1404	10336.53983
1405	10325.04222
1406	10324.63879
1407	10316.69456
1408	10313.43499
1409	10311.2599
1410	10305.75753
1411	10304.38216
1412	10303.3524
1413	10299.32727
1414	10297.97435
1415	10293.46313
1416	10291.2094
1417	10285.77714
1418	10282.6536
1419	10280.31889
1420	10275.47116
1421	10271.84149
1422	10271.48651
1423	10268.48944
1424	10264.73373
1425	10258.73166
1426	10255.85501
1427	10250.86398
1428	10247.67743
1429	10243.17763
1430	10236.68942
1431	10234.54288
1432	10228.94667
1433	10225.8265
1434	10221.79621
1435	10219.03172
1436	10218.26521
1437	10211.52513
1438	10208.13366
1439	10201.96181
1440	10195.55634
1441	10192.50118
1442	10189.73619
1443	10187.11964
1444	10184.89841
1445	10180.45664
1446	10175.60201
1447	10169.55295
1448	10167.95372
1449	10165.72192
1450	10162.22716
1451	10153.68094
1452	10150.61228
1453	10149.06222
1454	10148.71345
1455	10146.87682
1456	10145.04673
1457	10142.99032
1458	10135.4576
1459	10130.28762
1460	10124.54459
1461	10117.07804
1462	10110.96156
1463	10108.95541
1464	10105.98966
1465	10102.55598
1466	10097.10314
1467	10091.71269
1468	10088.81288
1469	10085.22125
1470	10081.96551
1471	10077.15269
1472	10074.63122
1473	10070.30252
1474	10068.00138
1475	10062.45353
1476	10061.81141
1477	10058.79193
1478	10057.20979
1479	10055.70907
1480	10050.78219
1481	10046.5279
1482	10045.87753
1483	10044.30804
1484	10038.48348
1485	10037.03475
1486	10034.60389
1487	10030.84273
1488	10029.46926
1489	10028.97874
1490	10025.53021
1491	10022.78307
1492	10020.80584
1493	10020.40961
1494	10019.36389
1495	10016.53287
1496	10014.58335
1497	10013.05744
1498	10007.14407
1499	10004.67974
1500	10001.7396
1501	9997.51368
1502	9991.346946
1503	9988.731938
1504	9982.208412
1505	9977.05992
1506	9970.481793
1507	9963.843622
1508	9959.928455
1509	9957.418543
1510	9954.486808
1511	9949.003406
1512	9946.951689
1513	9942.440888
1514	9937.114585
1515	9934.606029
1516	9929.150547
1517	9927.678334
1518	9927.341063
